ID,Age,Height(in.),Attraction,Hair,Intellectual_Connection,Humor,Chemistry,Attitude,Wine,Politics,Income,Divorced,Kids,Second_Date,Like_This_Person?
1,27,67,4,Blonde,2.5,1,4,Neutral,Red,Left,Low,No,No,Yes,No
2,27,65,5.5,Blonde,6.5,4.5,3,Complainer,Red,Left,Low,No,No,Yes,No
3,25,61,1,Brunette,2,2.5,1,Negative,White,Left,Low,No,No,No,No
4,21,68,8,Brunette,7.5,7,8,Negative,White,Left,Low,No,No,Yes,Yes
5,27,65,7,Blonde,7.5,6.5,8,Positive,Red,Left,Medium,No,No,No,Yes
6,31,67,2.5,Brunette,3.5,3.5,2,Complainer,Red,Left,Low,No,No,Yes,No
7,37,65,7,Brunette,2.5,4.5,5,Neutral,Red,Left,Low,Yes,Yes,No,No
8,23,68,5,Brunette,7,7,6,Positive,None,Right,Low,No,No,Yes,No
9,34,61,3,Brunette,10,10,6,Positive,Red,Independent,High,Yes,No,Yes,Yes
10,26,63,7,Blonde,4,3,6.5,Neutral,White,Left,Low,No,Yes,No,No
11,36,62,8.5,Blonde,2,3.5,6.5,Negative,Red,Right,Low,Yes,Yes,Yes,No
12,45,66,1.5,Brunette,2.5,7,3.5,Negative,Red,Left,Low,Yes,No,No,No
13,22,66,6.5,Blonde,7,6.5,9,Complainer,Red,Right,Low,No,No,Yes,Yes
14,21,65,7.5,Brunette,8,7.5,7.5,Complainer,Red,Left,Medium,No,No,Yes,Yes
15,21,62,3,Red,9,9,5,Positive,Red,Independent,Low,No,No,Yes,Yes
16,21,67,5,Brunette,8.5,7.5,7,Positive,White,Left,Low,No,No,Yes,Yes
17,39,67,2,Brunette,2.5,2,4.5,Negative,White,Right,Low,Yes,Yes,No,No
18,32,60,7,Blonde,6,5.5,7.5,Positive,White,Left,High,No,No,No,No
19,25,64,3.5,Brunette,3,4,4.5,Complainer,Red,Left,Low,No,No,No,No
20,27,63,9.5,Brunette,5.5,9,10,Positive,Red,Right,Low,Yes,Yes,Yes,Yes
21,35,62,7,Blonde,8.5,10,5.5,Positive,Red,Independent,Low,Yes,Yes,Yes,Yes
22,23,69,9,Blonde,1,1,3.5,Negative,White,Left,Low,No,No,Yes,No
23,25,69,8,Blonde,5,4,9.5,Neutral,Red,Right,Low,No,Yes,Yes,Yes
24,25,64,4,Blonde,3,5,3,Neutral,Red,Right,Medium,No,No,No,No
25,33,70,7.5,Brunette,6.5,6.5,7.5,Neutral,Red,Left,Medium,No,Yes,Yes,No
26,38,68,5,Brunette,3.5,3.5,3.5,Neutral,Red,Left,Low,Yes,Yes,Yes,No
27,34,62,8.5,Blonde,6,4,5,Positive,White,Right,High,No,No,No,Yes
28,28,65,3.5,Blonde,7.5,2.5,3.5,Complainer,Red,Left,Low,No,No,No,No
29,33,62,8,Brunette,6.5,7,8,Neutral,Red,Right,High,Yes,Yes,Yes,Yes
30,37,62,6.5,Brunette,6,8.5,6.5,Negative,Red,Right,Medium,Yes,Yes,Yes,Yes
31,29,64,7,Brunette,6,6,6.5,Positive,Red,Left,Low,No,No,No,Yes
32,34,62,6.5,Blonde,3.5,4,2,Positive,Red,Left,Medium,Yes,Yes,No,No
33,39,65,3.5,Blonde,4.5,6.5,2,Neutral,Red,Left,Low,No,No,No,No
34,34,68,1.5,Blonde,1.5,1,0,Negative,White,Left,Low,No,No,No,No
35,23,63,8,Brunette,2.5,6,7.5,Complainer,Red,Right,Low,No,No,Yes,No
36,26,65,3.5,Blonde,1,2,0,Neutral,White,Right,Low,Yes,Yes,No,No
37,28,66,7.5,Brunette,5.5,3,7.5,Neutral,Red,Left,Medium,No,No,No,Yes
38,33,63,8,Brunette,6.5,3,7,Negative,Red,Left,Low,No,No,No,Yes
39,30,64,8.5,Blonde,6,8,7.5,Complainer,White,Left,Low,No,No,Yes,Yes
40,30,62,4,Blonde,6.5,6,6,Positive,Red,Left,Medium,Yes,No,Yes,No
41,23,67,8,Brunette,6,7,9.5,Positive,Red,Left,Low,No,Yes,Yes,Yes
42,30,74,4.5,Brunette,3,2,2.5,Negative,Red,Right,Medium,No,No,No,No
43,27,67,8,Brunette,3.5,4,6.5,Positive,Red,Right,Medium,No,No,Yes,No
44,40,70,9,Blonde,6.5,9,9,Positive,Red,Left,Medium,Yes,Yes,Yes,Yes
45,30,71,5,Blonde,9,7,3.5,Negative,Red,Independent,Low,No,No,Yes,Yes
46,32,65,9.5,Blonde,5,5,7,Negative,Red,Left,High,Yes,No,No,Yes
47,36,66,4.5,Blonde,4,7.5,2.5,Complainer,Red,Left,Low,Yes,Yes,No,No
48,33,63,8,Brunette,5,6,8.5,Positive,Red,Left,Low,No,No,Yes,Yes
49,40,68,7,Brunette,4,0,2.5,Negative,Red,Left,Medium,Yes,Yes,Yes,No
50,33,64,4.5,Brunette,6,5,2.5,Neutral,Red,Left,Low,Yes,Yes,No,No
